x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
-24.35,11.75,0
-24.85,19.25,0
9.25,2.75,0
-5.55,-7.25,0
-22.35,21.85,0
-14.85,22.05,0
16.05,8.55,0
16.25,-4.25,0
9.25,13.45,0
10.15,3.35,0
-14.35,-14.05,0
-1.95,13.15,0
-20.25,-8.75,0
-24.15,-6.85,0
4.55,19.65,0
22.85,3.35,0
13.55,-24.85,0
14.95,13.45,0
4.25,3.25,0
-9.15,2.15,0
24.25,24.85,0
7.45,17.05,0
19.95,-17.75,0
-8.85,7.65,0
12.55,20.45,0
22.95,-2.15,0
-1.95,17.95,0
24.15,-15.15,0
-10.05,-12.55,0
-15.95,6.95,0
-6.15,-24.95,0
5.85,19.55,0
-10.65,-4.75,0
3.45,-2.85,0
13.15,-0.85,0
9.75,-3.65,0
11.85,23.05,0
19.05,14.25,0
0.25,1.35,0
3.55,8.35,0
7.75,-1.45,0
4.85,12.25,0
21.05,-4.65,0
10.15,22.35,0
10.25,-14.35,0
-10.45,3.05,0
-15.85,14.75,0
-4.25,3.25,0
-14.15,18.55,0
-24.05,-21.95,0
-4.85,-20.35,0
20.05,3.05,0
-24.05,-5.25,0
-19.35,23.65,0
-16.55,16.85,0
11.15,18.25,0
23.65,20.65,0
-23.35,19.75,0
-13.55,-8.55,0
-12.65,13.05,0
-6.75,-11.65,0
23.35,-15.55,0
11.45,3.85,0
7.75,0.65,0
15.65,14.65,0
4.25,-21.15,0
-14.25,-22.35,0
19.05,-14.85,0
24.85,6.05,0
22.85,-17.55,0
15.55,5.25,0
-6.15,-15.25,0
-0.95,-8.85,0
23.65,5.45,0
-12.25,-19.05,0
-1.25,16.55,0
-17.45,-8.45,0
20.55,22.15,0
-11.75,-8.75,0
-7.85,-2.75,0
-17.65,10.85,0
3.35,-16.55,0
-13.55,-19.85,0
-12.85,3.75,0
24.75,7.65,0
1.05,-0.75,0
-22.75,13.45,0
19.85,-18.75,0
-10.55,4.15,0
-5.15,-15.75,0
-14.65,-23.75,0
13.75,-23.55,0
-13.85,12.95,0
0.85,-8.65,0
17.35,-16.95,0
4.35,-14.55,0
1.65,-12.35,0
-3.25,-0.85,0
1.85,19.05,0
20.55,-16.95,0
-11.35,24.25,0
3.15,23.85,0
-4.25,3.05,0
3.15,-7.65,0
-9.65,-5.85,0
2.55,-5.45,0
15.05,7.65,0
-23.15,15.35,0
-23.05,-19.55,0
16.65,-14.15,0
13.15,-3.05,0
-22.65,15.85,0
16.65,-0.15,0
-11.95,1.05,0
24.45,-1.65,0
-19.55,-9.85,0
-9.75,-17.75,0
-3.65,5.15,0
24.75,-7.55,0
-8.75,24.75,0
-14.75,15.85,0
21.35,19.65,0
21.45,23.45,0
-5.15,9.85,0
5.85,17.15,0
-0.55,1.35,0
17.25,8.75,0
-8.35,18.55,0
7.05,-18.95,0
-18.55,-20.85,0
0.65,12.45,0
6.35,3.55,0
17.95,17.25,0
-19.15,-21.15,0
-13.45,21.95,0
-24.65,20.85,0
-15.45,4.25,0
-8.35,-16.55,0
-14.45,7.05,0
-11.55,22.25,0
14.95,24.85,0
-7.45,0.45,0
-24.15,-22.15,0
17.55,-23.95,0
18.85,5.25,0
-5.45,6.75,0
19.55,-17.95,0
9.05,17.55,0
-23.35,-8.05,0
-20.85,-16.35,0
7.85,-17.45,0
-1.75,24.35,0
9.55,-7.05,0
-7.15,-13.05,0
-12.65,15.95,0
